head_node	edge_relation 	head_node edge_relation /r/Antonymhead ofnode edge
armenian	/r/IsA 	armenian /r/IsAoccupation
persian	/r/IsA 	persian /r/IsAtype of organism with an anatomical entity
american	/r/IsA 	american /r/IsAfictional entity
filipino	/r/IsA 	filipino /r/IsAmusic term
english	/r/IsA 	english /r/IsAhuman being
norwegian	/r/IsA 	norwegian /r/IsAvocaloid
dutch	/r/IsA 	dutch /r/IsAeconomic concept
israeli	/r/IsA 	israeli /r/IsAeconomic concept
nigerian	/r/IsA 	nigerian /r/IsAseafood
ethiopia	/r/IsA 	ethiopia /r/IsAhealth problem
europe	/r/IsA 	europe /r/IsAregion of the planet
european	/r/IsA 	european /r/IsAcivilian
russian	/r/IsA 	russian /r/IsAmilitary officer
ukraine	/r/IsA 	ukraine /r/IsApolitical region
sudan	/r/IsA 	sudan /r/IsAscholarly article
afghanistan	/r/IsA 	afghanistan /r/IsAfictional country
iraq	/r/IsA 	iraq /r/IsAfictional profession
yemen	/r/IsA 	yemen /r/IsAoccupation
ukrainian	/r/IsA 	ukrainian /r/IsAposition
russia	/r/IsA 	russia /r/IsAgeography term
italy	/r/IsA 	italy /r/IsAmeeting
somali	/r/IsA 	somali /r/IsAfungus
iran	/r/IsA 	iran /r/IsAnaval historian
afghan	/r/IsA 	afghan /r/IsAfictional human
indian	/r/IsA 	indian /r/IsAartificial figure
italian	/r/IsA 	italian /r/IsAname
australian	/r/IsA 	australian /r/IsAoccupation
spanish	/r/IsA 	spanish /r/IsAcultural appropriation
guatemalan	/r/IsA 	guatemalan /r/IsAfictional country
hispanic	/r/IsA 	hispanic /r/IsAsocial issue
venezuela	/r/IsA 	venezuela /r/IsAartistic theme
sudanese	/r/IsA 	sudanese /r/IsAsudanese
oman	/r/IsA 	oman /r/IsAoccupation
finnish	/r/IsA 	finnish /r/IsAfinnish
swedish	/r/IsA 	swedish /r/IsAtype of sport
venezuelan	/r/IsA 	venezuelan /r/IsAeducator
puerto rican	/r/IsA 	puerto rican /r/IsAmusical group
ghanaian	/r/IsA 	ghanaian /r/IsAmusical profession
moroccan	/r/IsA 	moroccan /r/IsApsychology term
somalia	/r/IsA 	somalia /r/IsAacademic discipline
saudi arabian	/r/IsA 	saudi arabian /r/IsAacademic discipline
syria	/r/IsA 	syria /r/IsAsemi-structural component
chinese	/r/IsA 	chinese /r/IsAfictional organism
pakistani	/r/IsA 	pakistani /r/IsAtribe
china	/r/IsA 	china /r/IsAcultural figure
india	/r/IsA 	india /r/IsAindigenous ethnic group
irish	/r/IsA 	irish /r/IsAmixed martial arts video game
britain	/r/IsA 	britain /r/IsAfood ingredient
france	/r/IsA 	france /r/IsAcultural heritage site
greece	/r/IsA 	greece /r/IsAregion of the globe
scotland	/r/IsA 	scotland /r/IsAmilitary district
mexican	/r/IsA 	mexican /r/IsAgeographical object
paraguayan	/r/IsA 	paraguayan /r/IsAconcerto
brazil	/r/IsA 	brazil /r/IsAconcerto
african	/r/IsA 	african /r/IsAcultural group
eritrean	/r/IsA 	eritrean /r/IsAscholarly article
sierra leonean	/r/IsA 	sierra leonean /r/IsAlean
africa	/r/IsA 	africa /r/IsAeconomic concept
jordan	/r/IsA 	jordan /r/IsAgiant dog
indonesia	/r/IsA 	indonesia /r/IsAindonesian
vietnam	/r/IsA 	vietnam /r/IsAeconomic concept
pakistan	/r/IsA 	pakistan /r/IsAoccupation
german	/r/IsA 	german /r/IsAoccupation
romania	/r/IsA 	romania /r/IsAreligious genre
brazilian	/r/IsA 	brazilian /r/IsAlegal profession
ecuadorian	/r/IsA 	ecuadorian /r/IsAoccupation
mexico	/r/IsA 	mexico /r/IsAcousin
puerto rico	/r/IsA 	puerto rico /r/IsAcultural heritage site
kenyan	/r/IsA 	kenyan /r/IsAfictional material
liberian	/r/IsA 	liberian /r/IsAhuman
cameroonian	/r/IsA 	cameroonian /r/IsAarchaeological find
african americans	/r/IsA 	african americans /r/IsAmuslim
kenya	/r/IsA 	kenya /r/IsAmusical composition
liberia	/r/IsA 	liberia /r/IsAcountry
sierra leon	/r/IsA 	sierra leon /r/IsAnaut
qatari	/r/IsA 	qatari /r/IsApolitical work
syrian	/r/IsA 	syrian /r/IsAtype of wood
arab	/r/IsA 	arab /r/IsAsports discipline
saudi arabia	/r/IsA 	saudi arabia /r/IsAartistic theme
lebanon	/r/IsA 	lebanon /r/IsAartificial entity
indonesian	/r/IsA 	indonesian /r/IsAindigenous human
french	/r/IsA 	french /r/IsAfrench
norwegian	/r/IsA 	norwegian /r/IsAmusical profession
south africa	/r/IsA 	south africa /r/IsAsouth african entity
jordanian	/r/IsA 	jordanian /r/IsAhuman character
korea	/r/IsA 	korea /r/IsAregion
singapore	/r/IsA 	singapore /r/IsAgeographical object
romanian	/r/IsA 	romanian /r/IsAsymbol
crimean	/r/IsA 	crimean /r/IsAoccupation
native american	/r/IsA 	native american /r/IsAhumanoid
germany	/r/IsA 	germany /r/IsAmeeting
ireland	/r/IsA 	ireland /r/IsAhistorical region
ecuador	/r/IsA 	ecuador /r/IsAoccupation
morocco	/r/IsA 	morocco /r/IsAmusic genre
omani	/r/IsA 	omani /r/IsAhuman-machine interface component
iranian	/r/IsA 	iranian /r/IsAscholarly article
iraqi	/r/IsA 	iraqi /r/IsAnatural element
qatar	/r/IsA 	qatar /r/IsAnarrative element
turkey	/r/IsA 	turkey /r/IsAfood ingredient
vietnamese	/r/IsA 	vietnamese /r/IsAvietnamese-aviation warfare
nepali	/r/IsA 	nepali /r/IsAfictional location
laos	/r/IsA 	laos /r/IsAgroup of organisms known by one particular common name
bangladesh	/r/IsA 	bangladesh /r/IsAanimal-flesse
british	/r/IsA 	british /r/IsAcouples
polish	/r/IsA 	polish /r/IsAphilosophical concept
greek	/r/IsA 	greek /r/IsAgroup of living things
scottish	/r/IsA 	scottish /r/IsAtype of wood
bolivian	/r/IsA 	bolivian /r/IsAfictional human
